date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2025-06-13,597.0,598.5,601.85,595.48,89505996,593.3535,565.3082,579.1228,1,1,1,1,-0.01118,-0.003572,0.011076,0.052669,-0.008696,0.01067,0.008514,1.2532,0.127775,526.96,1,1,-0.012555,-0.005586,0.135135,0.001375,bullish
2025-06-16,602.68,600.4,604.45,600.22,79984125,593.7775,566.6278,579.3284,1,1,1,1,0.009514,0.005003,0.014271,0.065766,0.005695,0.007019,0.007912,0.8871,0.130132,534.29,1,1,0.01391,0.006765,0.14247,-0.004396,bullish
2025-06-17,597.53,600.21,601.75,596.76,82209365,593.9115,568.4728,579.5246,1,1,1,1,-0.008545,-0.009203,0.004505,0.059488,-0.004098,0.008351,0.00787,1.0611,0.13422,529.08,1,1,-0.009751,-0.009603,0.147742,0.001206,bullish
2025-06-18,597.44,598.44,601.22,596.47,76605029,594.141,570.334,579.72,1,1,1,1,-0.000151,-0.006519,0.007742,0.040691,0.001523,0.007951,0.008252,0.9635,0.133562,528.99,1,1,-0.00017,-0.006424,0.147027,1.9e-05,bullish
2025-06-20,594.28,598.38,599.46,592.86,94051374,594.712,572.29,579.873,0,1,1,1,-0.005289,-0.015685,0.019593,0.032704,0.001573,0.011106,0.008022,1.3844,0.119042,526.83,1,1,-0.004083,-0.012798,0.137689,-0.001206,neutral
2025-06-23,600.15,595.04,600.54,591.89,87426039,595.565,573.3206,580.1134,1,1,1,1,0.009877,0.005276,0.029258,0.055506,0.001279,0.014413,0.008801,1.6377,0.123079,531.65,1,1,0.009149,0.0089,0.140438,0.000728,bullish
2025-06-24,606.78,604.33,607.8499,603.41,67735293,596.9485,574.9646,580.3925,1,1,1,1,0.011047,0.006803,0.04778,0.070008,0.006965,0.007317,0.009072,0.8065,0.123426,539.78,1,1,0.015292,0.010275,0.141901,-0.004245,bullish
2025-06-25,607.12,607.91,608.61,605.54,62114767,597.747,576.4282,580.6801,1,1,1,1,0.00056,0.016049,0.027015,0.092611,0.001862,0.005057,0.008852,0.5713,0.102935,541.16,1,1,0.002557,0.022832,0.119857,-0.001997,bullish
2025-06-26,611.87,608.99,612.31,608.37,78548361,598.954,577.8832,581.0376,1,1,1,1,0.007824,0.024153,0.041073,0.093816,0.00308,0.006439,0.008533,0.7546,0.101742,546.22,1,1,0.00935,0.032572,0.120179,-0.001526,bullish
2025-06-27,614.91,612.88,616.39,610.83,86258398,600.197,579.4292,581.3801,1,1,1,1,0.004968,0.034714,0.042132,0.096155,0.001651,0.009042,0.008737,1.0349,0.102061,548.09,1,1,0.003424,0.040355,0.120194,0.001544,bullish
2025-06-30,617.85,617.38,619.22,615.04,92502541,601.62,581.273,581.7254,1,1,1,1,0.004781,0.029493,0.048287,0.09447,0.004017,0.006765,0.008346,0.8106,0.101766,551.64,1,1,0.006477,0.0376,0.119839,-0.001696,bullish
2025-07-01,617.65,616.36,618.83,615.52,70030140,602.867,583.0978,582.0416,1,1,1,1,-0.000324,0.017914,0.042078,0.150829,-0.002412,0.005359,0.00818,0.6551,0.101427,546.99,1,1,-0.008429,0.013357,0.125023,0.008105,bullish
2025-07-02,620.45,617.24,620.49,616.61,66510374,604.085,585.2292,582.3484,1,1,1,1,0.004533,0.021956,0.040866,0.227933,-0.000664,0.006254,0.00797,0.7847,0.100958,550.8,1,1,0.006965,0.017814,0.124559,-0.002432,bullish
2025-07-03,625.34,622.45,626.28,622.43,51065249,605.5555,587.191,582.665,1,1,1,1,0.007881,0.022014,0.049351,0.239819,0.003223,0.006157,0.007791,0.7903,0.102635,556.22,1,1,0.00984,0.018308,0.12746,-0.001959,bullish
2025-07-07,620.68,623.36,624.03,617.87,74814505,606.937,588.8962,582.9542,1,1,1,1,-0.007452,0.009383,0.04659,0.250161,-0.003166,0.009925,0.007673,1.2935,0.105492,552.03,1,1,-0.007533,0.007189,0.127466,8.1e-05,bullish
2025-07-08,620.34,621.35,622.11,619.52,59024585,607.997,590.3692,583.2406,1,1,1,1,-0.000548,0.00403,0.035384,0.130728,0.001079,0.004175,0.006649,0.6279,0.101594,552.34,1,1,0.000562,0.001269,0.124724,-0.00111,bullish
2025-07-09,624.06,622.77,624.72,620.9105,66113326,609.216,591.8376,583.5538,1,1,1,1,0.005997,0.010378,0.040655,0.189637,0.003917,0.006104,0.006528,0.935,0.102633,556.25,1,1,0.007079,0.016929,0.125936,-0.001082,bullish
2025-07-10,625.82,624.2,626.8701,623.01,57528960,610.353,593.337,583.828,1,1,1,1,0.00282,0.008655,0.037706,0.172079,0.000224,0.006168,0.006639,0.9291,0.101781,555.45,1,1,-0.001438,0.008442,0.125575,0.004258,bullish
2025-07-11,623.62,622.74,624.86,621.53,63670226,611.466,594.723,584.1049,1,1,1,1,-0.003515,-0.002751,0.037016,0.156737,-0.004922,0.00534,0.006529,0.8179,0.102216,554.2,1,1,-0.00225,-0.003632,0.125006,-0.001265,bullish
2025-07-14,624.81,623.16,625.1581,621.7999,51898518,612.519,596.1284,584.3806,1,1,1,1,0.001908,0.006654,0.034882,0.162199,-0.000738,0.005375,0.006162,0.8723,0.101902,556.21,1,1,0.003627,0.007572,0.125134,-0.001719,bullish
2025-07-15,622.14,627.52,627.86,622.06,74317260,613.776,597.4018,584.6348,1,1,1,1,-0.004273,0.002902,0.042111,0.183541,0.004337,0.009323,0.006418,1.4526,0.092747,556.72,1,1,0.000917,0.00793,0.112636,-0.00519,bullish
2025-07-16,624.22,623.74,624.73,618.05,88987511,614.853,598.551,584.9057,1,1,1,1,0.003343,0.000256,0.03574,0.185806,0.002572,0.010701,0.006952,1.5393,0.088719,557.29,1,1,0.001024,0.00187,0.104849,0.002319,bullish
2025-07-17,628.04,624.4,628.4048,624.18,68885683,616.3785,599.8416,585.1844,1,1,1,1,0.00612,0.003547,0.05106,0.222153,0.000288,0.006727,0.007,0.961,0.081001,561.8,1,1,0.008093,0.011432,0.096806,-0.001973,bullish
2025-07-18,627.58,629.3,629.47,626.46,65621645,617.8855,601.2172,585.465,1,1,1,1,-0.000732,0.00635,0.050449,0.190289,0.002006,0.004796,0.006863,0.6988,0.081278,561.26,1,1,-0.000961,0.012739,0.09719,0.000229,bullish
2025-07-21,628.77,628.77,631.54,628.34,63374984,619.61,602.5696,585.74,1,1,1,1,0.001896,0.006338,0.058037,0.174349,0.001896,0.005089,0.00638,0.7976,0.076003,564.17,1,1,0.005185,0.014311,0.093777,-0.003289,bullish
2025-07-22,628.86,629.1,629.73,626.19,60046288,621.0455,603.8456,586.0412,1,1,1,1,0.000143,0.010801,0.047838,0.150305,0.000525,0.005629,0.006525,0.8627,0.071819,561.25,1,1,-0.005176,0.008137,0.09599,0.005319,bullish
