ticker,name,primary_exchange,latest_close,avg_volume
PINS,"Pinterest, Inc. Class A Common Stock",XNYS,18.39,14004801
PL,Planet Labs PBC,XNYS,31.83,10517970
POET,POET Technologies Inc. Common Shares,XNAS,5.74,5927055
PPL,PPL Corporation,XNYS,37.06,6626536
PRMB,Primo Brands Corporation,XNYS,18.51,6376884
PSKY,Paramount Skydance Corporation Class B Common Stock,XNAS,9.17,12113200
PTEN,Patterson-UTI Energy Inc,XNAS,10.89,10536969
PYPL,"PayPal Holdings, Inc. Common Stock",XNAS,44.21,15526124
QBTS,D-Wave Quantum Inc.,XNYS,15.93,47453483
QS,QuantumScape Corporation Class A Common Stock,XNAS,6.81,27747324
QUBT,Quantum Computing Inc. Common,XNAS,7.45,24054872
QXO,"QXO, Inc.",XNYS,20.19,7778052
RBLX,Roblox Corporation,XNYS,55.0,8982578
RCAT,"Red Cat Holdings, Inc. Common Stock",XNAS,16.08,10708331
REPL,"Replimune Group, Inc.",XNAS,6.97,4195729
RF,Regions Financial Corp.,XNYS,25.64,15603671
RGTI,"Rigetti Computing, Inc. Common Stock",XNAS,15.6,50428452
RIG,Transocean LTD.,XNYS,6.63,41419021
RIOT,"Riot Platforms, Inc. Common Stock",XNAS,14.33,28936020
RITM,Rithm Capital Corp.,XNYS,9.14,6974258
RIVN,"Rivian Automotive, Inc. Class A Common Stock",XNAS,16.1,38719874
RKLB,Rocket Lab Corporation Common Stock,XNAS,66.07,21714584
RKT,"Rocket Companies, Inc.",XNYS,14.17,26010443
ROIV,Roivant Sciences Ltd. Common Shares,XNAS,26.87,6937851
RPRX,Royalty Pharma plc Class A Ordinary Shares,XNAS,45.57,4155283
RUN,Sunrun Inc,XNAS,12.75,13867341
S,"SentinelOne, Inc.",XNYS,13.04,7005724
SATL,Satellogic Inc. Class A Ordinary Shares,XNAS,5.38,4083001
SBET,"Sharplink, Inc. Common Stock",XNAS,7.17,16121433
SBUX,Starbucks Corp,XNAS,91.98,9995756
SEDG,"SolarEdge Technologies, Inc.",XNAS,47.67,4306670
SERV,Serve Robotics Inc. Common Stock,XNAS,9.22,6968362
SG,"Sweetgreen, Inc.",XNYS,5.22,5306832
SHLS,"Shoals Technologies Group, Inc. Class A Common Stock",XNAS,6.85,5707703
SIRI,"Sirius XM Holdings,  Inc",XNAS,22.36,4027451
SLB,SLB Limited,XNYS,50.51,17292084
SMCI,"Super Micro Computer, Inc. Common Stock",XNAS,22.23,36716263
SO,The Southern Company,XNYS,93.98,5506491
SOC,Sable Offshore Corp.,XNYS,16.81,5360534
SOFI,"SoFi Technologies, Inc. Common Stock",XNAS,16.7,67064017
SOUN,"SoundHound AI, Inc. Class A Common Stock",XNAS,6.36,38110491
SRPT,"Sarepta Therapeutics,, Inc. Common Stock",XNAS,17.61,6183708
STLA,Stellantis N.V.,XNYS,6.75,17669820
STM,STMicroelectronics N.V.,XNYS,31.95,7196715
STNE,StoneCo Ltd. Class A Common Shares,XNAS,13.98,5755959
STUB,"StubHub Holdings, Inc.",XNYS,6.59,4493501
SUNB,"Sunbelt Rentals Holdings, Inc.",XNYS,69.61,6831095
SVM,Silvercorp Metals Inc. Common Shares,XASE,9.79,6149456
T,AT&T Inc.,XNYS,28.87,40464582
TDOC,"Teladoc Health, Inc.",XNYS,5.42,6500907
TE,T1 Energy Inc.,XNYS,6.61,8849359
TECK,Teck Resources Limited,XNYS,48.56,4508610
TEM,"Tempus AI, Inc. Class A Common Stock",XNAS,48.83,8610934
TFC,Truist Financial Corporation,XNYS,45.32,8746131
TGB,Taseko Mines Limited,XASE,5.96,8298279
TLRY,"Tilray Brands, Inc. Common Stock",XNAS,6.66,6011807
TOST,"Toast, Inc.",XNYS,26.61,8761910
TSCO,Tractor Supply Co,XNAS,45.49,5741835
TTD,"The Trade Desk, Inc.",XNAS,22.34,14283465
UA,"Under Armour, Inc. Class C Common Stock, $0.0003 1/3 par value",XNYS,5.9,4701078
UAA,"Under Armour, Inc.",XNYS,6.04,12468730
