ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
IMRX,Immuneering Corporation Class A Common Stock,XNAS,5.23,2026-03-24,1713326,9126909,price_5_10,adv_5m_20m,0.6452,0.072588,0.6088,True,
STLD,Steel Dynamics Inc,XNAS,169.7,2026-03-24,1279579,232632368,price_80_200,adv_100m_plus,0.5,0.031484,0.6088,True,
TGT,Target Corporation,XNYS,115.92,2026-03-24,6706002,740866607,price_80_200,adv_100m_plus,0.4355,0.029398,0.6087,True,
LII,Lennox International Inc.,XNYS,476.97,2026-03-24,449617,233684571,price_200_500,adv_100m_plus,0.5,0.03145,0.6087,True,
PII,Polaris Inc.,XNYS,56.67,2026-03-24,947441,59733221,price_40_80,adv_50m_100m,0.6129,0.03711,0.6086,True,
OLLI,"Ollie's Bargain Outlet Holdings, Inc. Common Stock",XNAS,93.26,2026-03-24,1196621,129970072,price_80_200,adv_100m_plus,0.5323,0.034323,0.6085,True,
SARO,"StandardAero, Inc.",XNYS,26.11,2026-03-24,4288276,129414862,price_20_40,adv_100m_plus,0.5968,0.029904,0.6084,True,
BAH,Booz Allen Hamilton Holding Corporation,XNYS,78.88,2026-03-24,2461750,209747206,price_40_80,adv_100m_plus,0.4194,0.037739,0.6083,True,
PLXS,Plexus Corp,XNAS,214.13,2026-03-24,319350,60748110,price_200_500,adv_50m_100m,0.5645,0.041585,0.6082,True,
LGIH,"LGI Homes, Inc.",XNAS,37.35,2026-03-24,454811,21536066,price_20_40,adv_20m_50m,0.6452,0.049614,0.6082,True,
DBVT,DBV Technologies S.A.,XNAS,19.55,2026-03-24,351960,7365880,price_10_20,adv_5m_20m,0.7419,0.064204,0.608,True,
TALO,"Talos Energy, Inc. Common Stock",XNYS,15.65,2026-03-24,2167056,27283272,price_10_20,adv_20m_50m,0.6935,0.041298,0.608,True,
WSC,WillScot Holdings Corporation Class A Common Stock,XNAS,18.27,2026-03-24,1933016,39551815,price_10_20,adv_20m_50m,0.5968,0.044487,0.6077,True,
ORA,"Ormat Technologies, Inc.",XNYS,109.84,2026-03-24,772215,88449543,price_80_200,adv_50m_100m,0.629,0.03058,0.6074,True,
DB,Deutsche Bank Aktiengesellschaft,XNYS,28.95,2026-03-24,3238494,114289589,price_20_40,adv_100m_plus,0.7742,0.019092,0.6072,True,
