ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
LUNG,Pulmonx Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001127537,BBG000LZVJC9,BBG001T4HJ52,2026-03-24T06:07:49.663783507Z
LUV,Southwest Airlines Co.,stocks,us,XNYS,CS,True,usd,0000092380,BBG000BNJHS8,BBG001S5SXC9,2026-03-24T06:07:49.663783877Z
LVO,"LiveOne, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001491419,BBG00HNJXM64,BBG00HNJXM73,2026-03-24T06:07:49.663784659Z
LVS,Las Vegas Sands Corp.,stocks,us,XNYS,CS,True,usd,0001300514,BBG000JWD753,BBG001SJCGP9,2026-03-24T06:07:49.66378499Z
LWAC,LightWave Acquisition Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002061379,,,2026-03-24T06:07:49.663785791Z
LWAY,Lifeway Foods Inc,stocks,us,XNAS,CS,True,usd,0000814586,BBG000BNJTC9,BBG001S5SXN7,2026-03-24T06:07:49.663786152Z
LWLG,"Lightwave Logic, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001325964,BBG000BX9GM5,BBG001SBG0P7,2026-03-24T06:07:49.663786292Z
LXEO,"Lexeo Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001907108,BBG00YB1C8M5,BBG00YB1C8N4,2026-03-24T06:07:49.663786563Z
LXP,LXP Industrial Trust,stocks,us,XNYS,CS,True,usd,0000910108,BBG000BL3355,BBG001S7H5W6,2026-03-24T06:07:49.663786743Z
LXRX,"Lexicon Pharmaceuticals, Inc.",stocks,us,XNAS,CS,True,usd,0001062822,BBG000BQ85G2,BBG001SDWCZ8,2026-03-24T06:07:49.663786933Z
LYB,LyondellBasell Industries N.V. Class A,stocks,us,XNYS,CS,True,usd,0001489393,,,2026-03-24T06:07:49.663787334Z
LYEL,"Lyell Immunopharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001806952,BBG00RNXFN14,BBG00RNXFN23,2026-03-24T06:07:49.663787544Z
LYFT,"Lyft, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001759509,BBG004M9ZHX5,BBG004M9ZHY4,2026-03-24T06:07:49.663787725Z
LYTS,LSI Industries Inc,stocks,us,XNAS,CS,True,usd,0000763532,BBG000BNKN21,BBG001S5SXV8,2026-03-24T06:07:49.663788005Z
LYV,Live Nation Entertainment Inc.,stocks,us,XNYS,CS,True,usd,0001335258,BBG000FQ7YR4,BBG001SNP2B2,2026-03-24T06:07:49.663788096Z
LZB,La-Z-Boy Incorporated,stocks,us,XNYS,CS,True,usd,0000057131,BBG000BNLC97,BBG001S5SXX6,2026-03-24T06:07:49.663788356Z
LZM,Lifezone Metals Limited,stocks,us,XNYS,CS,True,usd,0001958217,,,2026-03-24T06:07:49.663788446Z
LZMH,LZ Technology Holdings Limited Class B Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001967397,,,2026-03-24T06:07:49.663788637Z
M,Macy's Inc.,stocks,us,XNYS,CS,True,usd,0000794367,BBG000C46HM9,BBG001S6KRW6,2026-03-24T06:07:49.663788727Z
MA,Mastercard Incorporated,stocks,us,XNYS,CS,True,usd,0001141391,BBG000F1ZSQ2,BBG001SKNNS6,2026-03-24T06:07:49.663788827Z
MAA,"Mid-America Apartment Communities, Inc.",stocks,us,XNYS,CS,True,usd,0000912595,BBG000BLMY92,BBG001S7HZ69,2026-03-24T06:07:49.663788917Z
MAAS,Maase Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001750264,,,2026-03-24T06:07:49.663789128Z
MAC,The Macerich Company,stocks,us,XNYS,CS,True,usd,0000912242,BBG000BL9C59,BBG001S7HGB5,2026-03-24T06:07:49.663789538Z
MACI,Melar Acquisition Corp. I Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002016221,,,2026-03-24T06:07:49.663789639Z
MAGH,Magnitude International Ltd Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002046117,,,2026-03-24T06:07:49.66379034Z
MAGN,Magnera Corporation,stocks,us,XNYS,CS,True,usd,0000041719,BBG000BKFNX9,BBG001S5RLF3,2026-03-24T06:07:49.66379045Z
MAIA,"MAIA Biotechnology, Inc.",stocks,us,XASE,CS,True,usd,0001878313,BBG0113Q7J88,BBG0113Q7J97,2026-03-24T06:07:49.663791151Z
MAIN,Main Street Capital Corporation,stocks,us,XNYS,CS,True,usd,0001396440,BBG000BXT422,BBG001SJMVT1,2026-03-24T06:07:49.663791342Z
MAMA,"Mama's Creations, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001520358,BBG001QB7PK9,BBG001V1FNH5,2026-03-24T06:07:49.663791743Z
MAMK,MaxsMaking Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002008007,,,2026-03-24T06:07:49.663791963Z
MAMO,Massimo Group Common Stock,stocks,us,XNAS,CS,True,usd,0001952853,BBG01KP56GK1,BBG01KP56HF5,2026-03-24T06:07:49.663792073Z
MAN,ManpowerGroup,stocks,us,XNYS,CS,True,usd,0000871763,BBG000BNMHS4,BBG001S5SYW5,2026-03-24T06:07:49.663792173Z
MANE,"Veradermics, Incorporated",stocks,us,XNYS,CS,True,usd,0001827635,BBG00Z1S1G39,BBG00Z1S1G48,2026-03-24T06:07:49.663792264Z
MANH,Manhattan Associates Inc,stocks,us,XNAS,CS,True,usd,0001056696,BBG000BFV758,BBG001S71S35,2026-03-24T06:07:49.663792354Z
MAPS,"WM Technology, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001779474,BBG00PT7WC50,BBG00PT7WC69,2026-03-24T06:07:49.663792805Z
MARA,"MARA Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001507605,BBG001K7WBT8,BBG001V0L7T2,2026-03-24T06:07:49.663793336Z
MARPS,Marine Petroleum Trust,stocks,us,XNAS,CS,True,usd,0000062362,BBG000BNN8V9,BBG001S5SZ52,2026-03-24T06:07:49.663794057Z
MAS,Masco Corporation,stocks,us,XNYS,CS,True,usd,0000062996,BBG000BNNKG9,BBG001S5SZ70,2026-03-24T06:07:49.663794778Z
MASI,Masimo Corporation,stocks,us,XNAS,CS,True,usd,0000937556,BBG000C3W281,BBG001S71GQ6,2026-03-24T06:07:49.663794869Z
MASK,3 E Network Technology Group Ltd Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001993097,,,2026-03-24T06:07:49.663794959Z
MASS,908 Devices Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001555279,BBG008N1BYQ9,BBG008N1BYS7,2026-03-24T06:07:49.663795159Z
MAT,"Mattel, Inc.",stocks,us,XNAS,CS,True,usd,0000063276,BBG000BNNYW1,BBG001S5SZF1,2026-03-24T06:07:49.663795249Z
MATH,Metalpha Technology Holding Limited Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001682241,,,2026-03-24T06:07:49.66379559Z
MATV,"Mativ Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001000623,BBG000C3CWZ7,BBG001S7VRC4,2026-03-24T06:07:49.66379572Z
MATX,"Matsons, Inc.",stocks,us,XNYS,CS,True,usd,0000003453,BBG000BBK401,BBG001S5NL21,2026-03-24T06:07:49.663795911Z
MAX,"MediaAlpha, Inc.",stocks,us,XNYS,CS,True,usd,0001818383,BBG00XRTJ7K6,BBG00XRTJ8D2,2026-03-24T06:07:49.663796091Z
MAXN,"Maxeon Solar Technologies, Ltd. Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001796898,,,2026-03-24T06:07:49.663796482Z
MAYS,Mays (J.W.) Inc,stocks,us,XNAS,CS,True,usd,0000054187,BBG000BNQ882,BBG001S5SZV3,2026-03-24T06:07:49.663796762Z
MAZE,"Maze Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001842295,BBG00NHJHS27,BBG00NHJHS36,2026-03-24T06:07:49.663797393Z
MB,MasterBeef Group Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002027265,,,2026-03-24T06:07:49.663797584Z
MBAI,Check-Cap Ltd.,stocks,us,XNAS,CS,True,usd,0001610590,,,2026-03-24T06:07:49.663797674Z
MBAV,M3-Brigade Acquisition V Corp. Class A Ordinary shares,stocks,us,XNAS,CS,True,usd,0002016072,,,2026-03-24T06:07:49.663797764Z
MBBC,"Marathon Bancorp, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001835385,BBG00YHYKDJ1,BBG00YHYKFD2,2026-03-24T06:07:49.663798445Z
MBC,"MasterBrand, Inc.",stocks,us,XNYS,CS,True,usd,0001941365,BBG01B9G42Y3,BBG01B9G4424,2026-03-24T06:07:49.663798566Z
MBI,MBIA Inc.,stocks,us,XNYS,CS,True,usd,0000814585,BBG000BNQN34,BBG001S5T021,2026-03-24T06:07:49.663798746Z
MBIN,Merchants Bancorp Common Stock,stocks,us,XNAS,CS,True,usd,0001629019,BBG000RMQZS5,BBG001STXPM7,2026-03-24T06:07:49.663798836Z
MBINL,"Merchants Bancorp Depositary Shares, Each Representing a 1/40thInterest in a Share of 7.25% Fixed Rate Series E Non-CumulativePerpetual Preferred Stock, without par value",stocks,us,XNAS,CS,True,usd,0001629019,,,2026-03-24T06:07:49.663798926Z
MBINM,"Merchants Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock",stocks,us,XNAS,CS,True,usd,0001629019,,,2026-03-24T06:07:49.663799157Z
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,stocks,us,XNAS,CS,True,usd,0001629019,,,2026-03-24T06:07:49.663799377Z
MBIO,"Mustang Bio, Inc.",stocks,us,XNAS,CS,True,usd,0001680048,BBG00FXTN420,BBG00FXTN439,2026-03-24T06:07:49.663799598Z
MBLY,Mobileye Global Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001910139,BBG019X46Z37,BBG019X46ZY3,2026-03-24T06:07:49.663799818Z
MBOT,"Microbot Medical, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000883975,BBG000HPJ656,BBG001SD3692,2026-03-24T06:07:49.663800379Z
MBRX,"Moleculin Biotech, Inc.",stocks,us,XNAS,CS,True,usd,0001659617,BBG00B9T47L9,BBG00B9T47N7,2026-03-24T06:07:49.66380057Z
MBVI,M3-Brigade Acquisition VI Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002073928,,,2026-03-24T06:07:49.663801281Z
MBWM,Mercantile Bank Corp,stocks,us,XNAS,CS,True,usd,0001042729,BBG000BP2RV5,BBG001S971V3,2026-03-24T06:07:49.663801792Z
MBX,"MBX Biosciences, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001776111,BBG00W7W53M5,BBG00W7W53N4,2026-03-24T06:07:49.663801882Z
MC,MOELIS & COMPANY,stocks,us,XNYS,CS,True,usd,0001596967,BBG000RNBH63,BBG001STYX58,2026-03-24T06:07:49.663802092Z
MCB,"Metropolitan Bank Holding Corp. Common Stock, $0.01 par value per share",stocks,us,XNYS,CS,True,usd,0001476034,BBG001KHD495,BBG001V0P380,2026-03-24T06:07:49.663802193Z
MCBS,METROCITY BANKSHARES INC,stocks,us,XNAS,CS,True,usd,0001747068,BBG0088BL014,BBG0088BL023,2026-03-24T06:07:49.663802313Z
MCD,McDonald's Corporation,stocks,us,XNYS,CS,True,usd,0000063908,BBG000BNSZP1,BBG001S5T110,2026-03-24T06:07:49.663802413Z
MCFT,"MasterCraft Boat Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001638290,BBG002ZYLPN8,BBG002ZYLPP6,2026-03-24T06:07:49.663802593Z
